Measured Data,,,,,,,,,,,,Obtained from measured data,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MD,DTC,DTS,GR,DEN,NEU,RES-SHT,RES-MED,RES-DEP,Hole Size,Caliper,,Poisson,Vp (Measured),Vs (Measured),
(ft),(micro-sec/ft),(micro-sec/ft),(GRAPI),(g/cc),(PU),(Ohms-m),(Ohms-m),(Ohms-m),(Inches),(Inches),,Unitless,(km/s),(km/s),
9111.220472,77.4687,142.9187,7.6068,2.4028,20.98,1.1711,1.2696,1.133,8.5,8.625,,0.291969924,3.934492253,2.132681028,2.53822363
9111.548556,77.3787,142.1109,7.8894,2.4101,21.23,1.1566,1.2685,1.1269,8.5,8.625,,0.289293202,3.939068503,2.144803812,2.537324437
9111.87664,77.2887,141.3051,8.2856,2.4191,21.77,1.1478,1.2267,1.1259,8.5,8.625,,0.286561421,3.943655411,2.157034672,2.535549243
9112.204724,77.224,141.2953,8.1154,2.4289,22.21,1.1364,1.182,1.1224,8.5,8.625,,0.287028616,3.946959494,2.15718428,2.532548972
9112.532808,77.1744,141.7656,9.0905,2.4354,22.09,1.1226,1.1361,1.117,8.5,8.625,,0.289419544,3.949496206,2.150027933,2.530792566
9112.860892,77.1249,142.2356,10.0564,2.4346,21.38,1.1095,1.1179,1.1184,8.5,8.625,,0.291767535,3.952031056,2.142923431,2.532832906
9113.188976,77.1368,142.593,11.5785,2.4276,20.54,1.1021,1.0976,1.1179,8.5,8.625,,0.293150969,3.951421371,2.137552334,2.536090691
9113.51706,77.194,142.8674,11.5966,2.4193,20.05,1.0994,1.0755,1.1159,8.5,8.625,,0.293840324,3.948493406,2.133446819,2.538554867
9113.845144,77.2512,143.142,11.4626,2.4126,20.02,1.0968,1.0551,1.1175,8.5,8.625,,0.294525704,3.945569778,2.129354068,2.540195057
9114.173228,77.3364,143.5169,10.5167,2.407,20.32,1.098,1.0396,1.1179,8.5,8.625,,0.295400781,3.94122302,2.123791693,2.540346546
9114.501312,77.4466,143.9813,9.2217,2.4006,20.75,1.1029,1.0287,1.1172,8.5,8.625,,0.296439189,3.935614991,2.116941575,2.540111059
9114.829396,77.5566,144.4451,8.7517,2.3928,20.95,1.1168,1.029,1.1173,8.5,8.6251,,0.297465146,3.930033034,2.110144269,2.540639236
9115.15748,77.6631,144.6545,8.9349,2.3867,21.67,1.1283,1.0422,1.1173,8.5,8.6483,,0.297508616,3.92464375,2.107089652,2.540395439
9115.485564,77.7656,144.5884,8.8374,2.3868,21.8,1.1374,1.0675,1.1171,8.5,8.625,,0.296494832,3.91947082,2.108052928,2.536993888
9115.813648,77.8681,144.5222,11.3404,2.395,21.46,1.1371,1.1259,1.1157,8.5,8.625,,0.295474977,3.914311509,2.109018545,2.529313289
9116.141732,77.9422,144.3689,13.0934,2.4074,20.72,1.1347,1.1815,1.1141,8.5,8.625,,0.294310795,3.910590155,2.111258034,2.520392476
9116.469816,77.9791,144.1013,13.1872,2.4184,19.91,1.131,1.2338,1.1122,8.5,8.625,,0.292953013,3.908739649,2.115178697,2.513464046
9116.7979,78.0156,143.8334,13.0581,2.4237,19.33,1.1388,1.2753,1.1079,8.5,8.625,,0.291583512,3.906910926,2.119118369,2.509539746
9117.125984,77.9504,143.4679,12.1448,2.4237,19.13,1.1355,1.2966,1.1214,8.5,8.625,,0.290571457,3.91017878,2.124517052,2.511638798
9117.454068,77.7219,142.946,9.5865,2.4193,19.28,1.1376,1.2699,1.12,8.5,8.625,,0.290149714,3.921674586,2.132273726,2.521312582
9117.782152,77.4934,142.4248,9.0289,2.4131,19.59,1.1427,1.1835,1.1253,8.5,8.625,,0.289727007,3.933238185,2.140076728,2.531993503
9118.110236,77.3004,142.2162,10.2121,2.4075,20,1.1542,1.1189,1.131,8.5,8.625,,0.29033994,3.943058509,2.143215752,2.541265693
9118.43832,77.177,142.6238,11.0878,2.4038,20.47,1.147,1.1122,1.1335,8.5,8.625,,0.292972468,3.949363152,2.137090724,2.547287148
9118.766404,77.0537,143.0313,11.8965,2.4039,20.87,1.138,1.1202,1.1355,8.5,8.625,,0.295558037,3.955682855,2.131002095,2.551310205
9119.094488,76.9436,143.4359,10.6903,2.4085,21.09,1.1322,1.143,1.1389,8.5,8.625,,0.29799019,3.961343114,2.124991024,2.552519892
9119.422572,76.8661,143.8336,10.5794,2.414,21.11,1.1245,1.1864,1.144,8.5,8.625,,0.300117916,3.965337125,2.119115422,2.552181071
9119.750656,76.7887,144.2314,11.286,2.4141,21.09,1.1156,1.1958,1.1544,8.5,8.6249,,0.302212922,3.96933403,2.113270758,2.554700655
9120.07874,76.7803,144.6549,11.9728,2.4078,21.18,1.1294,1.1129,1.1609,8.5,8.5782,,0.303882806,3.969768287,2.107083825,2.558320512
9120.406824,76.9893,145.1595,11.2537,2.4007,21.3,1.1593,1.0216,1.1798,8.5,8.625,,0.304299378,3.958991704,2.09975923,2.555145558
9120.734908,77.1982,145.6638,11.5803,2.3996,21.26,1.1853,1.0154,1.2002,8.5,8.625,,0.304711841,3.948278587,2.092489692,2.548815279
9121.062992,77.3933,145.9968,11.7164,2.4075,20.96,1.1871,1.1355,1.2111,8.5,8.625,,0.304581111,3.938325411,2.087716991,2.538215253
9121.391076,77.5311,145.6143,13.4248,2.4185,20.59,1.2191,1.2174,1.2365,8.5,8.625,,0.302169159,3.931325623,2.093201011,2.527935397
9121.71916,77.6689,145.2316,13.1743,2.4253,20.39,1.2784,1.2271,1.2598,8.5,8.625,,0.299715992,3.924350673,2.098716808,2.51991026
9122.047244,77.7771,144.793,13.5332,2.4282,20.21,1.3211,1.2924,1.2913,8.5,8.625,,0.297218271,3.918891293,2.10507414,2.514901554
9122.375328,77.7125,144.0252,15.7013,2.4324,19.89,1.3628,1.4341,1.3357,8.5,8.6249,,0.294640161,3.922148946,2.116296315,2.514818143
9122.703412,77.6479,143.2575,15.6608,2.4408,19.75,1.4045,1.4738,1.3584,8.5,8.5781,,0.292003651,3.92541202,2.127637296,2.512575674
9123.031496,77.5851,142.5195,14.8308,2.4504,19.37,1.4253,1.4696,1.3679,8.5,8.5781,,0.289417294,3.928589381,2.13865471,2.509678826
9123.35958,77.5386,142.0576,14.135,2.4573,18.9,1.4387,1.4713,1.378,8.5,8.5782,,0.287825363,3.930945361,2.145608542,2.507655753
9123.687664,77.4922,141.5959,13.6055,2.4587,18.86,1.4668,1.4807,1.3945,8.5,8.625,,0.286211619,3.933299093,2.152604701,2.508442795
9124.015748,77.4528,141.1674,13.9317,2.4551,18.83,1.5136,1.4878,1.4191,8.5,8.625,,0.284664813,3.93529995,2.159138725,2.511558203
9124.343832,77.5502,141.3768,13.9193,2.4504,18.65,1.5761,1.5655,1.4375,8.5,8.625,,0.284803694,3.930357369,2.15594072,2.510808259
9124.671916,77.6476,141.5861,13.3922,2.4501,18.24,1.5614,1.7316,1.4537,8.5,8.625,,0.284941644,3.925427186,2.152753695,2.507812258
9125,77.7455,141.7964,13.841,2.458,17.62,1.5862,1.8295,1.4623,8.5,8.6249,,0.285079486,3.920484144,2.14956092,2.500626115
9125.328084,78.001,142.3531,14.7916,2.472,17.33,1.5945,1.79,1.4694,8.5,8.5781,,0.285470764,3.90764221,2.141154636,2.485367179
9125.656168,78.2566,142.91,15.1225,2.4828,17.11,1.614,1.7283,1.4745,8.5,8.5781,,0.285858399,3.894879154,2.13281086,2.471855727
9125.984252,78.5128,143.4673,12.7249,2.483,17.3,1.6354,1.6889,1.4755,8.5,8.5781,,0.286239405,3.882169532,2.124525937,2.463690433
9126.312336,78.9843,144.145,11.0317,2.4753,17.54,1.6237,1.7212,1.475,8.5,8.5781,,0.28545954,3.858994762,2.114537445,2.452789443
9126.64042,79.4668,144.8288,12.114,2.4685,17.5,1.5887,1.7801,1.4667,8.5,8.5781,,0.284624962,3.835564034,2.10455379,2.441252336
9126.968504,79.9488,145.512,12.6351,2.4677,17.24,1.547,1.7632,1.4465,8.5,8.5781,,0.283796501,3.812439962,2.094672604,2.426927667
9127.296588,80.1704,145.8992,13.6409,2.4721,17.07,1.5063,1.668,1.4263,8.5,8.5781,,0.28372803,3.801901949,2.08911358,2.418064577
9127.624672,80.3641,146.2548,13.9759,2.4771,17.31,1.4469,1.5546,1.4008,8.5,8.5781,,0.283741131,3.7927383,2.084034165,2.409800597
9127.952756,80.5577,146.6101,13.364,2.4789,17.95,1.3887,1.3837,1.3808,8.5,8.5781,,0.28375367,3.783623415,2.078983644,2.403136284
9128.28084,80.6778,146.7728,14.6718,2.4773,18.79,1.3725,1.3219,1.3734,8.5,8.5781,,0.283517694,3.777990971,2.076679058,2.400333655
9128.608924,80.7858,146.9029,15.6766,2.4723,19.6,1.3633,1.2831,1.3678,8.5,8.5781,,0.283237181,3.772940294,2.074839911,2.399547482
9128.937008,80.8932,147.0332,16.8396,2.4633,20.21,1.3137,1.2541,1.3521,8.5,8.5782,,0.282962282,3.76793105,2.0730012,2.400735384
9129.265092,80.8369,147.1954,15.4512,2.4512,20.42,1.277,1.2543,1.3354,8.5,8.625,,0.284078257,3.770555279,2.070716884,2.408329682
9129.593176,80.7416,147.3653,13.9066,2.44,20.9,1.261,1.2063,1.3311,8.5,8.6249,,0.285514698,3.775005697,2.068329519,2.416699756
9129.92126,80.6462,147.5344,12.4614,2.433,21.7,1.2639,1.152,1.3298,8.5,8.6017,,0.286936236,3.77947132,2.065958854,2.423036742
9130.249344,80.5095,147.4053,11.4449,2.4306,22.05,1.2694,1.1378,1.3298,8.5,8.6249,,0.287434449,3.785888622,2.067768255,2.428348906
9130.577428,80.3596,147.1817,11.3736,2.4285,22.09,1.2558,1.1804,1.3265,8.5,8.5781,,0.287643684,3.792950687,2.070909631,2.433930329
9130.905512,80.2097,146.9581,12.0182,2.4239,21.86,1.2565,1.1821,1.3282,8.5,8.5782,,0.287853361,3.800039147,2.074060566,2.44079172
9131.233596,80.0877,146.7554,12.8442,2.419,21.16,1.2711,1.1557,1.3356,8.5,8.6015,,0.287939099,3.805827861,2.076925278,2.446984435
9131.56168,79.9771,146.5612,15.4136,2.4165,20.97,1.283,1.2019,1.3443,8.5,8.5781,,0.287973991,3.811090925,2.079677295,2.451635552
9131.889764,79.8666,146.3669,16.5099,2.4174,20.5,1.3021,1.2798,1.3637,8.5,8.5781,,0.288007802,3.816363787,2.082438038,2.454570483
9132.217848,79.7661,146.1598,17.0312,2.4198,19.82,1.3448,1.3029,1.3832,8.5,8.5782,,0.287913108,3.821172152,2.085388732,2.456444
9132.545932,79.6708,145.9461,17.4362,2.4222,19.81,1.3931,1.3301,1.3999,8.5,8.6015,,0.287751304,3.825742932,2.08844224,2.458163607
9132.874016,79.5755,145.7325,16.5487,2.4242,19.56,1.4334,1.4061,1.4165,8.5,8.5781,,0.287589324,3.83032466,2.091503268,2.460092082
9133.2021,79.4859,145.5734,17.1226,2.4256,19.31,1.4667,1.5068,1.4375,8.5,8.5781,,0.287610076,3.834642371,2.093789113,2.462154349
